
Training Epoch [0/150]:  19%|▏| 8/43 [00:01<00:05,  6.62it/s, acc=0.5736904, dice=0.23209935, iou=0.13128
Training Epoch [96/150]:  74%|▋| 32/43 [00:04<00:01,  7.51it/s, acc=0.57422256, dice=0.27222165, iou=0.15





























Training Epoch [105/150]:  74%|▋| 32/43 [00:04<00:01,  8.03it/s, acc=0.5599861, dice=0.3060332, iou=0.180









Training Epoch [108/150]:  72%|▋| 31/43 [00:04<00:01,  7.48it/s, acc=0.46174812, dice=0.32162234, iou=0.1









Training Epoch [111/150]:  77%|▊| 33/43 [00:04<00:01,  6.17it/s, acc=0.54746246, dice=0.27868274, iou=0.1














Training Epoch [115/150]:  74%|▋| 32/43 [00:09<00:01,  7.19it/s, acc=0.65231895, dice=0.25430253, iou=0.1



















Training Epoch [121/150]:  72%|▋| 31/43 [00:04<00:02,  5.34it/s, acc=0.381361, dice=0.34181234, iou=0.206
















Training Epoch [126/150]:  79%|▊| 34/43 [00:04<00:00,  9.18it/s, acc=0.5693321, dice=0.31092298, iou=0.18












Training Epoch [130/150]:  72%|▋| 31/43 [00:04<00:01,  7.30it/s, acc=0.4421234, dice=0.3522176, iou=0.213









Training Epoch [133/150]:  72%|▋| 31/43 [00:04<00:01,  7.81it/s, acc=0.545578, dice=0.3466034, iou=0.2096


Training Epoch [134/150]:  70%|▋| 30/43 [00:03<00:01,  7.92it/s, acc=0.46367455, dice=0.32519552, iou=0.1
























Training Epoch [141/150]:  77%|▊| 33/43 [00:04<00:01,  8.21it/s, acc=0.49105644, dice=0.31154263, iou=0.1


























Training Epoch [149/150]:  74%|▋| 32/43 [00:04<00:01,  7.83it/s, acc=0.66950035, dice=0.19940397, iou=0.1
Exception in thread NetStatThr:
Traceback (most recent call last):
  File "/share/etud/e2008984/miniconda3/envs/torch_env/lib/python3.9/threading.py", line 973, in _bootstrap_inner
    self.run()
  File "/share/etud/e2008984/miniconda3/envs/torch_env/lib/python3.9/threading.py", line 910, in run
    self._target(*self._args, **self._kwargs)
  File "/share/etud/e2008984/miniconda3/envs/torch_env/lib/python3.9/site-packages/wandb/sdk/wandb_run.py", line 149, in check_network_status
    status_response = self._interface.communicate_network_status()
  File "/share/etud/e2008984/miniconda3/envs/torch_env/lib/python3.9/site-packages/wandb/sdk/interface/interface.py", line 125, in communicate_network_status
    resp = self._communicate_network_status(status)
  File "/share/etud/e2008984/miniconda3/envs/torch_env/lib/python3.9/site-packages/wandb/sdk/interface/interface_shared.py", line 397, in _communicate_network_status
    resp = self._communicate(req, local=True)
  File "/share/etud/e2008984/miniconda3/envs/torch_env/lib/python3.9/site-packages/wandb/sdk/interface/interface_shared.py", line 222, in _communicate
    return self._communicate_async(rec, local=local).get(timeout=timeout)
  File "/share/etud/e2008984/miniconda3/envs/torch_env/lib/python3.9/site-packages/wandb/sdk/interface/interface_shared.py", line 227, in _communicate_async
    raise Exception("The wandb backend process has shutdown")
